"apart","aprt","lesson 27"
"apostolic","apstlc","lesson 69 (complete text)"
"appear","apr","lesson 7"
"appearance","aprn","lesson 20"
"appearances","aprn","lesson 20"
"apple","apl","lesson 1, rule 5 (omit silent consonants within a word [treat the 2nd of a double consonant as silent])"
"applies","aplis","lesson 27"
"apply","apli","lesson 26"
"appraisal","aprasl","lesson 68 (complete text)"
"appreciably","aprsbl","lesson 9"
"appreciate","aprsat","lesson 10"
"approaching","aprocg","lesson 9"
"appropriate","aproprat","lesson 10"
"approximately","aprxmtl","lesson 19"
"april","a","lesson 4, day of week and months"
"aptitude","apttud","lesson 28"
"arbor","arbr","lesson 7"
"archbishop","arcbsp","lesson 69 (complete text)"
"architects","arctcs","lesson 9"
"architectural","arctctrl","lesson 51 (complete text)"
"are","r","lesson 3, lesson 4, briefs r=are, or, order, our, return"
"areas","ars","lesson 7"
"aristocracy","arstcrc","lesson 21"
"armature","armtr","lesson 59 (complete text)"
"armholes","armhols","lesson 20"
"army","arm","lesson 28"
"arrangements","aragms","lesson 8"
"arrive","ariv","lesson 6"
"arrived","arivd","lesson 6"
"article","artcl","lesson 7"
"articles","artcls","lesson 28"
"artillery","artlr","lesson 63 (complete text)"
"arts","arts","lesson 58 (complete text)"
"as","z","lesson 4, briefs z=as, has, his, was"
"ascorbic","ascrbc","lesson 62 (complete text)"
"ash","as","lesson 56 (complete text)"
"ask","ask","lesson 24"
"asked","askd","lesson 3"
"asking","askg","lesson 4"
"asleep","aslep","lesson 7"
"asphalt","asflt","lesson 51 (complete text)"
"asphaltic","asfltc","lesson 57 (complete text)"
"aspic","aspc","lesson 2 (complete text)"
"assessments","asms","lesson 68 (complete text)"
"assignment","asinm","lesson 4"
"assimilated","asmlatd","lesson 16"
"assist","ast","lesson 8"
"assistance","astn","lesson 9"
"association","asosas","lesson 9"
"associations","asosass","lesson 19"
"assure","asr","lesson 14"
"assures","asrs","lesson 22"
"at","a","lesson 3, briefs a=an, and, at, about"
"ate","at","lesson 1, rule 2 (always write a sounding vowel if at the beginning of a word)"
"attaches","atsas","lesson 20"
"attend","atn","lesson 4"
"attention","atns","lesson 4"
"attitude","attud","lesson 9"
"attribute","atrbut","lesson 5, common word beginnings and endings"
"audimeter","admtr","lesson 67 (complete text)"
"audiometer","admtr","lesson 60 (complete text)"
"audition","ads","lesson 67 (complete text)"
"august","ag","lesson 4, day of week and months"
"authority","atr","lesson 25"
"automatically","atomtcl","lesson 7"
"auxiliaries","axlrs","lesson 63 (complete text)"
"avail","aval","lesson 32 (complete text)"
"available","avalb","lesson 23"
"average","avrg","lesson 24"
"avocados","avcdos","lesson 25"
"avoid","avyd","lesson 7"
"awaiting","awatg","lesson 6"
"awful","awf","lesson 5, common word beginnings and endings"
"b-29's","b-29's","lesson 28"
"b.c.","b.c.","lesson 17"
"baby","bab","lesson 2, phonetic abbreviations"
"baccalaureate","bclrt","lesson 58 (complete text)"
"back","bk","lesson 17"
"backhaul","bkhl","lesson 70 (complete text)"
"bacteria","bctra","lesson 22"
"bad","bd","lesson 29"
"bag","bg","lesson 14"
"bake","bak","lesson 1, rule 1 (never write a silent vowel)"
"baking","bakg","lesson 26"
"ball","bl","lesson 9"
"balloon","blon","lesson 10"
"balmy","bm","lesson 2, phonetic abbreviations"
"bang","bg","lesson 2, phonetic abbreviations"
"bank","bnk","lesson 8"
"banks","bnks","lesson 19"
"banner","bnr","lesson 27"
"baptism","bptsm","lesson 69 (complete text)"
"bare","br","lesson 2, phonetic abbreviations"
"bargain","brgn","lesson 24"
"bargains","brgns","lesson 24"
"base","bas","lesson 1, rule 1 (never write a silent vowel)"
"basement","basm","lesson 68 (complete text)"
"basic","basc","lesson 28"
"bat","bt","lesson 2, phonetic abbreviations"
"batch","bc","lesson 2, phonetic abbreviations"
"batiste","btst","lesson 69 (complete text)"
"battery","btr","lesson 56 (complete text)"
"battlefield","btlfld","lesson 30"
"be","b","lesson 3, briefs b=be, by, buy, been, but"
"beach","bc","lesson 2, phonetic abbreviations"
"beam","bm","lesson 57 (complete text)"
"bear","br","lesson 2 (complete text)"
"beautiful","butf","lesson 3"
"beautify","butf","lesson 2, phonetic abbreviations"
"became","bcam","lesson 21"
"because","bcs","lesson 2, phonetic abbreviations"
"become","bc","lesson 7"
"becoming","bcg","lesson 21"
"bed","bd","lesson 1(complete text)"
"bedroom","bdrom","lesson 68 (complete text)"
"beef","bef","lesson 21"
"been","b","lesson 3, briefs b=be, by, buy, been, but"
"befit","bft","lesson 2 (complete text)"
"before","bf","lesson 5, common word beginnings and endings"
"beg","bg","lesson 1,rule 3 (omit sounding vowels within a word, unless they have a long sound)"
"begin","bgn","lesson 28"
"behind","bhin","lesson 3"
"behold","bhold","lesson 11"
"believed","blvd","lesson 13"
"belong","blg","lesson 11"
"below","blo","lesson 11"
"belt","blt","lesson 21"
"ben","bn","lesson 66 (complete text)"
"bend","dn","lesson 2, phonetic abbreviations"
"beneficial","bnfsl","lesson 9"
"benefit","bnft","lesson 9"
"benzine","bnzn","lesson 64 (complete text)"
"beryllium","brlm","lesson 52 (complete text)"
"best","bst","lesson 3"
"beta","bata","lesson 52 (complete text)"
"better","btf","lesson 15"
"between","btwen","lesson 19"
"bevel","bvl","lesson 57 (complete text)"
"beverages","bvrgs","lesson 29"
"beware","bwr","lesson 15"
"beyond","byn","lesson 18"
"bible","bib","lesson 21"
"bibliography","bblgrf","lesson 66 (complete text)"
"bid","bd","lesson 1,rule 3 (omit sounding vowels within a word, unless they have a long sound)"
"big","bg","lesson 28"
"bill","bl","lesson 10"
"billion","blyn","lesson 19"
"bills","bls","lesson 3"
"bin","bn","lesson 2, phonetic abbreviations"
"bind","bin","lesson 20"
"bindery","binr","lesson 66 (complete text)"
"birth","brt","lesson 30"
"bismuth","bsmt","lesson 53 (complete text)"
